sample,id,name,engName,type,paraPrIDRef,charPrIDRef
04_blockquote_code,11,네모,,PARA,23,15
04_blockquote_code,12,동그라미,,PARA,24,15
04_blockquote_code,13,줄,,PARA,25,15
04_blockquote_code,14,개요 5,Outline 5,PARA,21,14
04_blockquote_code,15,개요 6,Outline 6,PARA,0,0
04_blockquote_code,16,개요 7,Outline 7,PARA,1,0
04_blockquote_code,17,개요 8,Outline 8,PARA,11,0
04_blockquote_code,18,개요 9,Outline 9,PARA,9,0
04_blockquote_code,19,개요 10,Outline 10,PARA,10,0
04_blockquote_code,20,쪽 번호,Page Number,CHAR,0,8
04_blockquote_code,21,머리말,Header,PARA,2,2
04_blockquote_code,22,각주,Footnote,PARA,3,3
04_blockquote_code,23,미주,Endnote,PARA,3,3
04_blockquote_code,24,메모,Memo,PARA,4,10
04_blockquote_code,25,차례 제목,TOC Heading,PARA,5,5
04_blockquote_code,26,차례 1,TOC 1,PARA,6,6
04_blockquote_code,27,차례 2,TOC 2,PARA,7,6
04_blockquote_code,28,차례 3,TOC 3,PARA,8,6
04_blockquote_code,29,캡션,Caption,PARA,12,0
05_table,0,바탕글,Normal,PARA,2,1
05_table,1,본문,Body,PARA,16,1
05_table,2,개요 1,Outline 1,PARA,17,10
05_table,3,개요 2,Outline 2,PARA,19,11
05_table,4,개요 3,Outline 3,PARA,20,11
05_table,5,개요 4,Outline 4,PARA,21,12
05_table,6,인용,,PARA,30,1
05_table,7,코드,,PARA,2,4
05_table,8,번호1,,PARA,27,1
05_table,9,표캡션,,PARA,2,1
05_table,10,번호2,,PARA,28,1
05_table,11,번호3,,PARA,29,1
05_table,12,네모,,PARA,24,14
05_table,13,동그라미,,PARA,25,14
05_table,14,줄,,PARA,26,14
05_table,15,개요 5,Outline 5,PARA,22,13
05_table,16,개요 6,Outline 6,PARA,3,0
05_table,17,개요 7,Outline 7,PARA,4,0
05_table,18,개요 8,Outline 8,PARA,14,0
05_table,19,개요 9,Outline 9,PARA,12,0
05_table,20,개요 10,Outline 10,PARA,13,0
05_table,21,쪽 번호,Page Number,CHAR,0,7
05_table,22,머리말,Header,PARA,5,2
05_table,23,각주,Footnote,PARA,6,3
05_table,24,미주,Endnote,PARA,6,3
05_table,25,메모,Memo,PARA,7,9
05_table,26,차례 제목,TOC Heading,PARA,8,5
05_table,27,차례 1,TOC 1,PARA,9,6
05_table,28,차례 2,TOC 2,PARA,10,6
05_table,29,차례 3,TOC 3,PARA,11,6
05_table,30,캡션,Caption,PARA,15,0
05_table,31,표내용,,PARA,0,15
06_figure,0,바탕글,Normal,PARA,17,7
06_figure,1,그림캡션,,PARA,30,1
06_figure,2,그림,,PARA,28,1
06_figure,3,본문,Body,PARA,18,7
06_figure,4,개요 1,Outline 1,PARA,20,11
06_figure,5,개요 2,Outline 2,PARA,22,12
06_figure,6,개요 3,Outline 3,PARA,23,12
06_figure,7,개요 4,Outline 4,PARA,24,13
06_figure,8,인용,,PARA,39,1
06_figure,9,코드,,PARA,19,4
06_figure,10,번호1,,PARA,35,7
06_figure,11,표캡션,,PARA,2,1
06_figure,12,번호2,,PARA,36,7
06_figure,13,번호3,,PARA,37,7
06_figure,14,네모,,PARA,31,15
06_figure,15,동그라미,,PARA,32,15
06_figure,16,줄,,PARA,33,15
06_figure,17,개요 5,Outline 5,PARA,25,14
06_figure,18,개요 6,Outline 6,PARA,4,0
06_figure,19,개요 7,Outline 7,PARA,5,0
06_figure,20,개요 8,Outline 8,PARA,15,0
06_figure,21,개요 9,Outline 9,PARA,13,0
06_figure,22,개요 10,Outline 10,PARA,14,0
06_figure,23,쪽 번호,Page Number,CHAR,0,8
06_figure,24,머리말,Header,PARA,6,2
06_figure,25,각주,Footnote,PARA,7,3
06_figure,26,미주,Endnote,PARA,7,3
06_figure,27,메모,Memo,PARA,8,10
06_figure,28,차례 제목,TOC Heading,PARA,9,5
06_figure,29,차례 1,TOC 1,PARA,10,6
06_figure,30,차례 2,TOC 2,PARA,11,6
06_figure,31,차례 3,TOC 3,PARA,12,6
06_figure,32,캡션,Caption,PARA,16,0
06_figure,33,표내용,,PARA,0,16
06_figure,34,FigureCaption,,PARA,3,18
07_footnote,0,바탕글,Normal,PARA,17,7
07_footnote,1,그림캡션,,PARA,30,1
